linker,family,smiles,MW,logP,TPSA,n_rings,temperature,time_h,concentration_M,solvent_DMF,expected_yield,yield,purity,reproducibility
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,70,60,0.4,0,0.31478790847410876,0.38195174246761293,0.45780507607925486,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,70,60,0.4,0,0.31478790847410876,0.41478790847410874,0.5673307218430115,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,70,60,0.4,0,0.2351879024442025,0.3351879024442025,0.31183595957300436,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,70,60,0.4,0,0.6067358708260298,0.4247151095782208,0.6605208593693461,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,70,60,0.4,1,0.5000593858063169,0.5180004566360614,0.4111258113169972,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,70,60,0.4,1,0.4389413498486402,0.41201627211929065,0.5282214377938848,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,70,60,0.4,1,0.41299692958523676,0.44474749373944766,0.501783903681649,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,70,60,0.4,1,0.5470319286330855,0.0,0.5863280703681686,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,70,60,0.4,1,0.5043250212445872,0.49965997593469275,0.5197572866708164,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,70,60,0.4,1,0.49912844529304196,0.5573476542331556,0.6950533097281242,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,70,60,0.4,1,0.5863639098391462,0.6179434634982531,0.46322993691851083,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,70,60,0.4,1,0.5863639098391462,0.6863639098391462,0.6385435027878757,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,70,60,0.4,1,0.5447879024442025,0.5268456225158358,0.40229784616714526,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,70,60,0.4,1,0.4091358708260298,0.5091358708260298,0.6151369689328193,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,70,60,0.45,0,0.27230669270792246,0.0,0.25564019425264595,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,70,60,0.45,0,0.5581002173690272,0.6581002173690271,0.452602520268345,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,70,60,0.45,0,0.6219678955783283,0.6219676936194207,0.587030381907312,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,70,60,0.45,0,0.3730199334234831,0.3900146479516027,0.5395108685174242,0.25
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,70,60,0.45,0,0.28396863083639856,0.3340007235385816,0.40531277328825804,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,70,60,0.45,0,0.2639794495044415,0.2331109325389502,0.6015551663406455,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,70,60,0.45,0,0.266838736510628,0.2593674936898406,0.44852382516208494,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,70,60,0.45,0,0.266838736510628,0.29791993253424337,0.625026176569594,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,70,60,0.45,0,0.20721755213217216,0.25515511339625613,0.33283119745144374,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,70,60,0.45,0,0.606080069414572,0.0,0.6191884421518984,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,70,60,0.45,1,0.4723066927079224,0.42696021568887,0.3152574111481955,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,70,60,0.45,1,0.4329241451783081,0.5329241451783081,0.4984271454725483,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,70,60,0.45,1,0.4123678955783283,0.37941222907225425,0.5260420947960265,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,70,60,0.45,1,0.4819580523969331,0.0,0.4909451006063572,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,70,60,0.45,1,0.4781141444294368,0.5141232486728929,0.45932199736543367,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,70,60,0.45,1,0.46983393591140327,0.42673311928910584,0.6359865210835127,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,70,60,0.45,1,0.5247149744575281,0.45942968731384953,0.4829823346939229,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,70,60,0.45,1,0.5247149744575281,0.6247149744575281,0.6091072376330753,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,70,60,0.45,1,0.5168175521321721,0.5049604816094765,0.3642201144185547,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,70,60,0.45,1,0.408480069414572,0.0,0.556359656164909,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,70,60,0.5,0,0.26445266137322654,0.23949808001402093,0.3012858181951322,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,70,60,0.5,0,0.5569928233417611,0.6569928233417611,0.4678052113042078,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,70,60,0.5,0,0.6218913742457328,0.6180553189544884,0.5530426466252476,1.0
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,70,60,0.5,0,0.34680905660833267,0.33358553786510997,0.5588735998289028,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,70,60,0.5,0,0.2756782644275529,0.28889346099475877,0.44157856722116745,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,70,60,0.5,0,0.2565617532438954,0.2957900068099144,0.5730839140175696,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,70,60,0.5,0,0.24525330854521002,0.22233466415838266,0.48905635561371597,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,70,60,0.5,0,0.24525330854521002,0.25218081980383017,0.5956941297657596,1.0
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,70,60,0.5,0,0.1946260524856783,0.2946260524856783,0.3367254447057376,1.0
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,70,60,0.5,0,0.6060002918550575,0.7060002918550575,0.45452954265082396,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,70,60,0.5,1,0.4644526613732265,0.5644526613732265,0.4027046340235196,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,70,60,0.5,1,0.4318167511510421,0.41994686925996094,0.4961761129858967,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,70,60,0.5,1,0.4122913742457328,0.40161647538223516,0.49941582297925735,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,70,60,0.5,1,0.4526635430152944,0.46394159893054104,0.5346803725384225,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,70,60,0.5,1,0.47069644816889067,0.4701366372269994,0.5495675960853923,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,70,60,0.5,1,0.46154356950255765,0.4443216508560463,0.659217049393009,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,70,60,0.5,1,0.49696228135913356,0.46552787217836766,0.47017111020801283,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,70,60,0.5,1,0.49696228135913356,0.5969622813591335,0.6207548338223521,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,70,60,0.5,1,0.5042260524856783,0.5070183853277295,0.33361599288795857,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,70,60,0.5,1,0.4084002918550576,0.37455143179934813,0.5599935052661092,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,70,72,0.05,0,0.22525676872199685,0.2588189003050172,0.5633462113452067,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,70,72,0.05,0,0.5336747907293572,0.49387042706425044,0.7316218227972866,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,70,72,0.05,0,0.6289499707280648,0.6479832628045489,0.7995478375118379,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,70,72,0.05,0,0.3616298818072649,0.39085046052780403,0.8011043999212596,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,70,72,0.05,0,0.23691870685047295,0.336918706850473,0.6816058245455028,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,70,72,0.05,0,0.21692952551851594,0.2639305045516828,0.6209072773244274,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,70,72,0.05,0,0.21690609604763494,0.0,0.6517909298980293,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,70,72,0.05,0,0.21690609604763494,0.20096604025766932,0.5793960897060584,1.0
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,70,72,0.05,0,0.21703427730859787,0.2310559175716618,0.5913806473255342,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,70,72,0.05,0,0.617955446063626,0.5979652002189915,0.7663967406034199,1.0
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,70,72,0.05,1,0.42525676872199686,0.4095132016991996,0.5945344587175799,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,70,72,0.05,1,0.41774203235868157,0.4198173599796664,0.6947390411046234,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,70,72,0.05,1,0.41934997072806485,0.4383992764627531,0.7228186040483032,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,70,72,0.05,1,0.46661169806592706,0.45349314045742656,0.7625899097293692,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,70,72,0.05,1,0.4310642204435112,0.30174495431045784,0.7524626139794103,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,70,72,0.05,1,0.4227840119254777,0.5227840119254777,0.6189038398830217,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,70,72,0.05,1,0.4668697285649594,0.5060632627919458,0.686412786067424,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,70,72,0.05,1,0.4668697285649594,0.32680880999547157,0.6167560129211656,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,70,72,0.05,1,0.5266342773085978,0.4953524706342737,0.6077760040151521,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,70,72,0.05,1,0.42035544606362607,0.42931933968012664,0.6974248943425332,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,70,72,0.1,0,0.25300946182039147,0.21758244747385466,0.4663767175198408,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,70,72,0.1,0,0.5809058554006364,0.4066340987804455,0.6999136484847155,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,70,72,0.1,0,0.6632359255870076,0.0,0.6783203039687081,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,70,72,0.1,0,0.36904757806781097,0.0,0.7037369258765778,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,70,72,0.1,0,0.26621321623211175,0.24971093959514692,0.6156216886407029,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,70,72,0.1,0,0.2431404023336664,0.2576491276547005,0.5778155800727008,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,70,72,0.1,0,0.22301478708573177,0.23017185639283627,0.5916165725104772,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,70,72,0.1,0,0.22301478708573177,0.23241536022911025,0.5312099101994053,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,70,72,0.1,0,0.22059768041415434,0.3205976804141544,0.4758566542587572,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,70,72,0.1,0,0.6537003777250768,0.6496383381900253,0.7824347431221317,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,70,72,0.1,1,0.45300946182039153,0.4464856179838203,0.5039832487559387,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,70,72,0.1,1,0.46497309702996076,0.47851351157238875,0.7079615227627203,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,70,72,0.1,1,0.4536359255870076,0.0,0.6782744634662767,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,70,72,0.1,1,0.4749020644747727,0.5099519008043618,0.8004388794470001,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,70,72,0.1,1,0.45727509725866167,0.3200925680810631,0.6763579922066062,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,70,72,0.1,1,0.45207852130711645,0.4489778327983777,0.6239078336718361,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,70,72,0.1,1,0.4747237598996553,0.4775732523227136,0.633552637600064,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,70,72,0.1,1,0.4747237598996553,0.4689205074455517,0.5326716541107543,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,70,72,0.1,1,0.5301976804141543,0.5174277636045664,0.5890189282902656,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,70,72,0.1,1,0.456100377725077,0.456747584962303,0.7368071273583338,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,70,72,0.15,0,0.3146583972020096,0.32036915984485115,0.45487647096841965,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,70,72,0.15,0,0.6412651701799832,0.7412651701799832,0.4255157381043885,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,70,72,0.15,0,0.6799136347215331,0.6714241490570553,0.7154430659074404,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,70,72,0.15,0,0.3952584548829614,0.3856401051187361,0.7118993124752324,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,70,72,0.15,0,0.33128709246826415,0.43128709246826413,0.5751839691757202,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,70,72,0.15,0,0.3013643968607501,0.3211327202370805,0.5826050828163644,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,70,72,0.15,0,0.24460021505114976,0.28919401529918926,0.5715136853545433,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,70,72,0.15,0,0.24460021505114976,0.257217036991543,0.4774597240646535,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,70,72,0.15,0,0.23318918006064815,0.21315896481734042,0.40897587458623863,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,70,72,0.15,0,0.6710877766100077,0.4697614436270054,0.7364354767145462,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,70,72,0.15,1,0.5146583972020096,0.48622484249711123,0.4798512120696014,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,70,72,0.15,1,0.5253324118093075,0.0,0.6654812446845134,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,70,72,0.15,1,0.4703136347215331,0.5703136347215331,0.6849651731485766,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,70,72,0.15,1,0.5041965738564115,0.5778482660540892,0.745951216128462,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,70,72,0.15,1,0.5154990917857455,0.5047698213599683,0.6514360126334806,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,70,72,0.15,1,0.5171523975432689,0.5415550187163098,0.6688344646678221,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,70,72,0.15,1,0.5024764529980499,0.0,0.5306907456296688,1.0
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,70,72,0.15,1,0.5024764529980499,0.3517335170986349,0.5237192048926212,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,70,72,0.15,1,0.5427891800606481,0.6427891800606481,0.5179378604691879,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,70,72,0.15,1,0.47348777661000785,0.5734877766100078,0.7019521860222091,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,70,72,0.2,0,0.39344314453745244,0.4095558942029508,0.4394026782909526,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,70,72,0.2,0,0.6706257377823945,0.7706257377823945,0.4286316861655591,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,70,72,0.2,0,0.6632359255870076,0.4642651479109053,0.7158944719755688,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,70,72,0.2,0,0.45348244941004523,0.4444676713430421,0.7716040125137303,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,70,72,0.2,0,0.4144487702112316,0.4239592469626299,0.5969641732052929,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,70,72,0.2,0,0.37577221378866843,0.3917779977245318,0.6167674182253713,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,70,72,0.2,0,0.29254938701463057,0.3925493870146306,0.5804567703108873,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,70,72,0.2,0,0.29254938701463057,0.2774398514650013,0.5149429585573562,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,70,72,0.2,0,0.26115953037267864,0.2845873427674687,0.4437143161166582,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,70,72,0.2,0,0.6537003777250768,0.7537003777250768,0.5791699852882748,1.0
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,70,72,0.2,1,0.5934431445374524,0.6934431445374524,0.47810006939904304,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,70,72,0.2,1,0.5546929794117188,0.5411805970252248,0.7007451069522668,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,70,72,0.2,1,0.4536359255870076,0.5536359255870076,0.6432285863806022,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,70,72,0.2,1,0.5692704500925639,0.5763900174645978,0.7123129996535648,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,70,72,0.2,1,0.5899069087136637,0.6082314147864935,0.6321754289845235,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,70,72,0.2,1,0.6003140752862364,0.6022321177702732,0.688657172579202,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,70,72,0.2,1,0.5641253883796681,0.5793080153687096,0.6341434316046944,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,70,72,0.2,1,0.5641253883796681,0.5415638650748634,0.584324448085708,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,70,72,0.2,1,0.5707595303726786,0.5660827178021733,0.440101483512785,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,70,72,0.2,1,0.456100377725077,0.46141900938370883,0.7309985832989774,1.0
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,70,72,0.25,0,0.4317663910593409,0.416653223535597,0.3844767101752171,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,70,72,0.25,0,0.6412651701799832,0.6762260234794419,0.6873114125041005,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,70,72,0.25,0,0.6289499707280648,0.6273140177516033,0.6913747159636274,1.0
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,70,72,0.25,0,0.5278902663379633,0.5227758063361979,0.7087231184576389,1.0
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,70,72,0.25,0,0.4549010859843361,0.5058469253852936,0.5617842851257902,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,70,72,0.25,0,0.41196639105934085,0.5119663910593408,0.6671834742540115,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,70,72,0.25,0,0.353826412719975,0.34912760646376695,0.6060165381046446,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,70,72,0.25,0,0.353826412719975,0.2962460963535107,0.5796294137446409,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,70,72,0.25,0,0.29690446203412957,0.28839292546389356,0.39964883679082713,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,70,72,0.25,0,0.617955446063626,0.5904656863779407,0.7796835645831381,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,70,72,0.25,1,0.631766391059341,0.6281338439590821,0.531083268136665,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,70,72,0.25,1,0.5253324118093075,0.5427204009563481,0.6505208501115535,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,70,72,0.25,1,0.41934997072806485,0.29354497950964537,0.6276003716594887,1.0
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,70,72,0.25,1,0.6524321278355313,0.45670248948487185,0.7362699224079029,0.75
